original,convert
menambah,menambah
wawasan,wawasan
jajarta,jakarta
jelass,jelas
najis,menjijikan
najisss,menjijikan
sukses,sukses
apa,apa
wajib,wajib
diisi,diisi
terbang,terbang
adain,adakan
lowongan,lowongan
pekerjaan,pekerjaan
dong,dong
luar,luar
biasa,biasa
survey,survey
ngga,tidak
masa,masa
besok,besok
kan,kan
tolol,tolol
jossss,bagus
pokoknya,pokoknya
lngsung,langsung
tnp,tanpa
buang,buang
lainnya,lainnya
ngasih,memberikan
harapan,harapan
sia,percuma
belanja,belanja
hemat,hemat
anak,anak
harus,harus
email,email
pake,pakai
ampun,ampun
parameter,parameter
keadaan,keadaan
dilapangan,di lapangan
mantaap,mantap
laporin,laporkan
filter,filter
sepele,sepele
aduin,adukan
daftarloginmasalah,daftar login masalah
terussss,terus
lancar,lancar
jaya,jaya
didalam,di dalam
lho,kenapa
puas,puas
senang,senang
masarakat,masyarakat
mencari,mencari
qlue,qlue
dijaman,dizaman
ahok,ahok
transparan,transparan
penilaian,penilaian
tadi,tadi
pas,pas
ngisi,mengisi
overall,overall
pak,pak
anies,anies
ternyata,ternyata
hehe,hehe
mengetahui,mengetahui
wilayah,wilayah
sekitarnya,sekitarnya
masyarakat,masyarakat
memudah,memudahkan
penggunanya,penggunanya
temukan,menemukan
booster,booster
heran,heran
sistem,sistem
mengerti,mengerti
bis,bisa
dapet,dapat
knp,kenapa
no,nomor
rt,rt
diwilayah,di wilayah
tdk,tidak
muncul,muncul
nyakuota,nya kuota
menyampaikan,menyampaikan
aspirasi,aspirasi
akun,akun
mengisi,mengisi
diri,diri
tlg,tolong
jawab,jawab
segera,segera
berhari,berhari
tp,tapi
aktivasi,aktivasi
mendapatkan,mendapatkan
burukk,buruk
cs,cs
pengen,ingin
fotonya,fotonya
tag,tag
lokasinya,lokasinya
screening,screening
sibuk,sibuk
servernya,servernya
apk,aplikasi
bangsa,bangsa
verifikasi,verifikasi
foto,foto
aaja,saja
jancu,jancuk
servery,servernya
meng,meng
input,masukan
datag,datang
sedang,sedang
mencoba,mencoba
masak,masak
cuma,cuma
skornya,skornya
bner,benar
beres,selesai
ni,nih
positif,positif
dimasyrakat,dimasyarakat
ngebantu,membantu
pemberian,pemberian
mengganti,mengganti
profil,profil
adatp,ada tapi
daftarpenuh,daftar penuh
pindah,pindah
tanpa,tanpa
pemberitahuan,pemberitahuan
sebelumnya,sebelumnya
mo,mau
masuknya,masuknya
scan,pindai
menyulitkan,menyulitkan
orang,orang
tua,tua
semalem,kemarin
siangnya,siangnya
fast,fast
yaaa,ya
verifikasinya,verifikasinya
gagal,gagal
gw,saya
erormasalahny,kesalahan
akan,akan
laporkan,laporkan
berarti,berarti
rtrt,rata rata
membatu,membatu
bahagia,bahagia
kenpa,kenapa
pembaruan,pembaruan
jakwifi,jakwifi
selatan,selatan
engga,tidak
jalan,jalan
membuat,membuat
pilih,pilih
faskes,fasilitas kesehatan
terdekat,terdekat
rumah,rumah
kalo,kalau
bukan,bukan
guru,guru
gabakal,tidak akan
digedein,dibesarkan
mikir,pikir
ingin,ingin
tgl,tanggal
tersedia,tersedia
bravo,bagus
teruslah,teruslah
berinovasi,berinovasi
berkembang,berkembang
direspon,direspon
top,bagus
jakiclm,jakclm
mwnjawab,menjawab
oke,oke
lgsg,langsung
memperoleh,memperoleh
list,daftar
hingga,sehingga
didownload,diunduh
tepat,tepat
para,para
terbaru,terbaru
mendapat,mendapat
rakyat,rakyat
install,pasang
cari,cari
termasuk,termasuk
pribumi,pribumi
terkini,terkini
yaa,ya
nyaatertunda,nya tertunda
trus,terus
laporannya,laporannya
lanjut,lanjut
dah,sudah
apaapa,apa apa
status,status
diperbaiki,diperbaiki
awalanya,awalnya
enak,enak
loginkadang,login kadang
nemu,menemukan
dimana,dimana
mengunduh,mengunduh
bermanfaathebat,bermanfaat hebat
nanti,nanti
tambahin,tambahkan
bintang,bintang
jaksurvei,jaksurvei
membasmi,membasmi
jenis,jenis
serangga,serangga
kita,kita
waspada,waspada
paling,paling
goblloookkkkontol,goblok kontol
mmek,memek
enggak,tidak
gunahanya,guna hanya
khusus,khusus
doang,saja
dihari,dihari
setelahnya,setelahnya
lagikenapa,lagi kenapa
butuhnih,butuh
jakpenda,jakpenda
menghadapi,menghadapi
balasan,balasan
responnya,responnya
team,team
kondisi,kondisi
siang,siang
apaan,apa
gunakan,gunakan
busuk,busuk
permasalahan,permasalahan
niat,niat
nyari,mencari
kaya,kaya
