original,convert
ngecek,mengecek
untk,untuk
bermanfaathatur,bermanfaat terima
baca,baca
ridwan,ridwan
terimaksi,terimakasih
kmi,kami
bergunaaduan,berguna aduan
realisasi,realisasi
aplikasie,aplikasinya
doakan,doakan
tngkat,tingkat
kn,kan
beserta,beserta
jajarannya,jajarannya
bermanfaay,bermanfaat
sayah,saya
sekeluarga,sekeluarga
bantuaan,bantuan
yu,ayo
sharee,bagikan
sebanyaj,sebanyak
banyaknya,banyaknya
tertinggal,tertinggal
visi,visi
tggal,tanggal
secepatnya,secepatnya
parahgk,parah
mendekteksi,mendekteksi
membntu,membantu
poko,pokok
akang,kakak
baguss,bagus
niiihh,nih
bersama,bersama
bp,bapak
jabarr,jabar
prcma,percuma
ngdu,mengadu
smpe,sampai
skrang,sekarang
benarkah,benarkah
merata,merata
kereeeeeen,keren
bangeeeet,banget
anggaran,anggaran
sajah,saja
memanfaatakn,memanfaatkan
hmm,hmm
kirim,kirim
wa,whatsapp
dijawab,dijawab
matur,terima
gininggak,begini tidak
unduhlgian,unduh lagian
gue,aku
php,php
pengetahuan,pengetahuan
diambil,diambil
kemarin,kemarin
aplikasiya,aplikasinya
ngontrak,mengontrak
bagian,bagian
ngelapor,melaporkan
nyaut,balasan
nge,me
heng,rusak
macet,macet
sapawarga,sapawarga
bln,bulan
mabruuuk,hancur
merah,merah
kuning,kuning
hijau,hijau
aplikasinyah,aplikasinya
yasangat,ya sangat
ssngat,sangat
go,go
idola,idola
sip,bagus
huh,huh
jambi,jambi
sihh,sih
mugi,semoga
sing,tidak
janten,jadi
manfaatterus,manfaat terus
komunikasi,komunikasi
rakyak,rakyat
pemimpinnya,pemimpinnya
sigapterimakasih,sigap terimakasih
sadar,sadar
kesrhatan,kesehatan
rugi,rugi
ngeprank,lawak
guber,gubernur
kk,kk
blt,blt
tanggapi,tanggapi
haben,haben
we,we
ngelihat,melihat
nmany,namanya
pour,pour
point,poin
ouw,oh
trdepan,terdepan
soal,soal
suatu,suatu
bapak,bapak
petugas,petugas
manatab,manta
thanksea,terimakasih
moga,semoga
permohonan,permohonan
mantappppppp,mantap
periode,periode
emg,memang
lelah,lelah
trims,terimakasih
terdepan,terdepan
taibacot,tai bacot
weh,hai
bau,bau
sungut,mulut
mantaf,mantap
jiwa,jiwa
kamil,kamil
banson,bansos
keliatan,kelihatan
ditutup,ditutup
tutupi,tutupi
kesiakawan,persahabatan
desa,desa
htur,terima
sukabumi,sukabumi
minim,kecil
ning,disini
untung,untung
na,na
menanglawankorona,menang lawan corona
alohuma,halo
amin,amin
kecurangan,kecurangan
pihak,pihak
mewakili,mewakili
ditanyakan,ditanyakan
umum,umum
mksh,terimakasih
hadapi,hadapi
cpt,cepat
mkasih,terimakasih
media,media
s,s
works,berfungsi
chaayoo,ayo
lamaaaaa,lama
pisaaaan,pisan
aplikasina,aplikasinya
sae,sae
pisanbermanfaat,pisan bermanfaat
aslmu,assalamu
alkm,alaikum
kanggo,menggunakan
abdi,abdi
sangant,sangat
ngabantos,membantu
mugia,semoga
sadayana,semua
lieur,pusing
duh,aduh
seeur,keluar
sosmed,sosial media
enggal,cepat
sagala,semua
bencana,bencana
ieu,ini
aamin,amin
tiasa,biasa
ngabantu,membantu
emilmugia,semoga emil
angkat,angkat
ka,ke
jazaakumullooh,jazaakumullooh
khoyr,khoyr
sampurasunckp,maaf
bantos,bantu
love,love
kabantu,terbantu
ku,aku
kabantos,terbantu
eweh,wah
anu,anu
ker,keluar
sugan,pasti
ngitung,menghitung
duit,uang
kahiji,pertama
didata,didata
ditambun,terkubur
utara,utara
kprw,kprw
kalong,kelelawar
kabbekasi,kabupaten bekasi
shilaturrahim,silaturahmi
shering,sharing
versi,versi
uy,uy
mantapperkembangan,mantap perkembangan
rwlebih,rw lebih
mantapsudah,mantap sudah
diperbaharuikalau,diperbaharui kalau
delay,delay
didepan,di depan
responsif,responsif
ubah,ubah
silaturahmi,silaturahmi
antar,antar
pentingah,penting
tengokin,lihat
kembangkan,kembangkan
simpel,sederhana
bagusefektif,bagus efektif
keyboard,keyboard
terganggu,terganggu
berbagi,berbagi
kegiatan,kegiatan
lalu,lalu
sempurna,sempurna
bertukar,bertukar
berdiskusi,berdiskusi
rw,rw
didapatkan,didapatkan
signal,sinyal
soalnya,soalnya
aaya,saya
support,dukung
diperbesar,diperbesar
unfaedah,tidak bermanfaat
uninstalllll,copot
atasan,atasan
bawahan,bawahan
organisasian,organisasian
merespon,merespon
luarbiasa,luar biasa
penyambung,penghubung
mengemukakan,mengemukakan
kreasi,kreasi
kreatifitasa,kreatifitas
wadah,wadah
bermanfaattolong,bermanfaat tolong
tingkatkn,tingkatkan
fiturfitur,fitur
berkomunikasi,berkomunikasi
verval,verval
supaya,supaya
ketinggalan,ketinggalan
mendownloadnyatapi,mengunduhnya tapi
verivikasi,verifikasi
belajar,belajar
upgrade,peningkatan
membantusampainya,membantu sampai
inovatif,inovatif
ditingkatkan,ditingkatkan
jabarnya,jabarnya
mrmpermudah,mempermudah
meningkatkan,meningkatkan
hal,hal
semuadn,semua dan
penyajian,penyajian
bagusssbisa,bagus bisa
sejawabarat,seluruh jawa barat
sejabar,seluruh jabar
mempersulit,mempersulit
daftarkan,daftarkan
sayang,sayang
gmna,bagaimana
menuju,menuju
digital,digital
sejauh,sejauh
puastingkat,puas tingkat
sapa,sapa
tukar,tukar
pentingnya,pentingnya
layarnya,layarnya
hitam,hitam
alangkah,alangkah
kepemerintahan,kepemerintahan
kebenaran,kebenaran
kereeen,keren
bawah,bawah
koordinasi,koordinasi
sejawa,sejawa
loginpadahal,login padahal
daftargmn,daftar bagaimana
maksudnya,maksudnya
sharing,sharing
kepentingan,kepentingan
menyapa,menyapa
belom,belum
pintar,pintar
bermutu,bermutu
bermanfaatbarakallah,bermanfaat
lengkapi,lengkapi
bgi,bagi
smua,semua
msrakat,masyarakat
ulang,ulang
peserta,peserta
markotop,top
alias,alias
baguuussokeey,bagus
ferivikasi,verifikasi
izin,izin
model,model
kedepannya,kedepannya
pemerintahan,pemerintahan
non,non
bersosialisai,bersosialisai
dftar,daftar
petunjuk,petunjuk
lom,belum
mendownload,mengunduh
tsb,tersebut
hususnya,khususnya
seminggu,seminggu
ketua,ketua
usulan,usulan
sempai,sampai
okeeee,bagus
baikdan,baik dan
bagussmangat,bagus semangat
maupun,maupun
trebantu,terbantu
perangkat,perangkat
melaksanakan,melaksanakan
tugas,tugas
seksama,seksama
bersyukur,bersyukur
lupa,lupa
seputaran,seputaran
silaturahim,silaturahmi
tuk,untuk
nambah,menambah
memerlukan,memerlukan
berbagai,berbagai
kab,kabupaten
perhatiannya,perhatiannya
terkait,terkait
akuratinformasinya,akurat informasinya
sekalisangat,sekali sangat
keperluan,keperluan
nyah,nya
tidk,tidak
dpat,dapat
bukaeror,buka kesalahan
membantubuat,membantu untuk
kepengurusanrw,kepengurusan rw
usulannya,usulannya
kemaslahatan,kemaslahatan
pengurus,pengurus
permintaan,permintaan
gmana,bagaimana
menampung,menampung
konsultasi,konsultasi
kwgiatan,kegiatan
adminnya,adminnya
prop,provinsi
vendorsuplier,vendor suplier
kabur,kabur
kepada,kepada
menyediakan,menyediakan
aflikasi,aplikasi
sistim,sistem
rwan,rawan
rtrw,rt rw
mantabbisa,mantap bisa
prov,provinsi
bapa,bapak
onfo,informasi
mengekspose,mengekspos
inspirasi,inspirasi
sandinya,sandinya
ngambil,mengambil
galeri,galeri
mengenal,mengenal
masyrakat,masyarakat
berkomukasi,berkomunikasi
terimakash,terimakasih
aps,aplikasi
bagagaimana,bagaimana
selamat,selamat
hangat,hangat
menggunakan,menggunakan
optimal,optimal
beri,beri
diharapkan,diharapkan
bamprop,banprov
salurkan,salurkan
kesulitan,kesulitan
mngupload,mengunggah
mngverval,verval
depan,depan
pendataan,pendataan
pengerasan,pengerasan
linnngkungan,lingkungan
disaya,di saya
sosok,sosok
memberii,memberi
wawasannsambill,wawasan sambil
belajarr,belajar
mantaaapss,mantap
sosialisasi,sosialisasi
halhal,perihal
maknyos,maknyos
trimaksi,terimakasih
membantun,membantu
buar,biar
sangt,sangat
aplkasi,aplikasi
pemm,pem
pisanloading,pisan loading
wae,wae
ganti,ganti
saparw,sapa rw
bro,bro
depok,depok
nyampein,menyampaikan
ataw,atau
sok,sok
tara,tara
memper,memper
tuntutan,tuntutan
kondusif,kondusif
mendekatkan,mendekatkan
bnyk,banyak
gpp,tidak masalah
moda,moda
ekomunikasi,komunikasi
gerbang,gerbang
terakhir,terakhir
haduh,aduh
sapawsrga,sapawarga
bermangpaat,bermanfaat
gabung,gabung
sa,sa
propinsi,provinsi
sekalidari,sekali dari
santuy,santai
mantapppp,mantap
sapawrga,sapawarga
terverifikasi,terverifikasi
usul,usul
ranah,ranah
banyakin,perbanyak
semangkin,semakin
pede,percaya diri
aza,saja
dishare,dibagikan
pebaikan,perbaikan
nopenting,nomor penting
perlengkap,perlengkap
lumbayan,lumayan
positip,positif
partisifatif,partisipatif
bgus,bagus
memposting,memposting
rahayu,senang
sehat,sehat
tks,terimakasih
aplikasih,aplikasi
sangan,sangat
berjiwa,berjiwa
disediakan,disediakan
pemrov,pemprov
lansung,langsung
berwenang,berwenang
membangun,membangun
regis,registrasi
syang,sayang
cma,cuma
os,os
manteeeup,mantap
bngeeeut,banget
sngat,sangat
weuh,wah
nomorna,nomornya
molor,terlambat
kabeh,semua
mazuk,masuk
han,dan
masyarakatkami,masyarakat kami
pengahatuan,apresiasi
terasa,terasa
dekat,dekat
teknologi,teknologi
bahaya,bahaya
pajak,pajak
kendaraan,kendaraan
merupakan,merupakan
interaktif,interaktif
mantul,mantap
eco,eco
park,park
rb,rb
itungan,itungan
jari,jari
taiii,tai
privikasi,verifikasi
msih,masih
tutup,tutup
aktivasinya,aktivasinya
ektp,ektp
bekasi,bekasi
standby,standby
mendadak,mendadak
berulang,berulang
espt,seperti
tahunan,tahunan
jawabanya,jawabannya
dukcapil,dukcapil
dikirim,dikirim
sistemnya,sistemnya
kualitasnya,kualitasnya
id,id
kek,seperti
tapinya,tapinya
pl,peduli lindungi
j,j
telah,telah
menyajikan,menyajikan
nomor,nomor
telpon,telepon
tulisan,tulisan
batas,batas
anda,anda
dihapus,dihapus
formnya,formnya
masuka,masuk
password,password
tersambung,tersambung
bukanya,bukanya
kepake,terpakai
lindungitulisannya,lindungi tulisannya
bingits,banget
memotivasi,memotivasi
sampe,sampai
akhir,akhir
disconnect,terputus
design,desain
sederhana,sederhana
berubah,berubah
jugasertifikat,juga sertifikat
harap,harap
bugnya,kesalahan
bagusmakin,bagus makin
responsifga,responsif
iniyg,ini yang
gaptek,gagap teknologi
berestrimakasih,beres terimakasih
disaat,disaat
sambungan,sambungan
bukannnya,bukannya
useless,tidak berguna
kosong,kosong
akurasi,akurasi
kecepatan,kecepatan
rampingkan,rampingkan
ukurannya,ukurannya
isian,isian
dropdown,dropdown
cetak,cetak
ealahh,ampun
menemukan,menemukan
kecil,kecil
tim,tim
ambulance,ambulans
sesamanya,sesamanya
tingkatin,tingkatkan
diberbagai,di berbagai
maximum,maksimum
kembali,kembali
kumplit,lengkap
serasa,terasa
menjelajah,menjelajah
dimarketplace,di marketplace
klw,kalau
yatolong,ya tolong
jauhjauh,jauh
bilangnya,katanya
smart,pintar
kualitas,kualitas
ferifikasi,verifikasi
terdaftar,terdaftar
out,keluar
repot,repot
masukkan,masukan
yth,yth
hormat,hormat
aplikaainya,aplikaainya
tnk,terimakasih
beta,beta
dipaksa,dipaksa
hadeuh,aduh
nilainya,nilainya
sebaik,sebaik
mungkin,mungkin
disampaikan,disampaikan
balai,balai
diaskses,diakses
yaterima,ya terima
relevan,relevan
dikembangkan,dikembangkan
koneksi,koneksi
browsing,menjelajah
beneran,kebenaran
modus,modus
doangparameter,saja parameter
penilaiannya,penilaiannya
yaitu,yaitu
nginx,nginx
not,tidak
found,ditemukan
ngk,tidak
iya,iya
bukannya,bukankah
sabar,sabar
emang,memang
akuntabilitas,akuntabilitas
mlm,malam
skrng,sekarang
puluhan,puluhan
menanyakan,menanyakan
riil,riil
lolos,lolos
konyol,konyol
waktunya,waktunya
ayolah,ayolah
bisnis,bisnis
naik,naik
aplikasiny,aplikasinya
responjaksurvei,respon jaksurvei
jakispu,jakispu
neh,nih
sumpah,sumpah
rate,rate
tulull,tolol
nyusahin,menyusahkan
keterangan,keterangan
kebaikan,kebaikan
reting,rating
ja,saja
spt,seperti
anonim,anonim
katany,katanya
blg,bilang
teruuuss,terus
aplikasiii,aplikasi
sisa,sisa
kuotaa,kuota
tersediaaa,tersedia
segalanya,segalanya
silahkan,silakan
menyampailan,menyampaikan
anehga,aneh tidak
sertifikatnyaga,sertifikatnya tidak
cetaktp,cetak tapi
keterngn,keterangan
udhvaksinbingungbgt,sudah vaksin bingung banget
ambil,ambil
antrian,antrean
puskesmas,puskesmas
appnya,aplikasinya
mgkn,mungkin
smp,sampai
nyaris,nyaris
kiamat,kiamat
br,baru
bangke,bangkai
palah,parah
kekurangan,kekurangan
pengisian,pengisian
kec,kecamatan
diakhir,diakhir
diminta,diminta
dahuliin,dahulukan
sangatsangatsangaaatttbermanfaattingkatkan,sangat bermanfaat tingkatkan
lagimaju,lagi maju
samsat,samsat
jateng,jawa tengah
interaksi,interaksi
evaluasi,evaluasi
sertifikat,sertifikat
nyalain,menyalakan
meragukan,meragukan
izinin,mengizinkan
wkwkwkw,wkwkwk
logic,logika
penggunaannya,penggunaannya
reportnya,laporannya
bnyak,banyak
katakata,kata
halaman,halaman
reset,reset
cacad,rusak
submit,kirim
respond,respon
jaklingko,jaklingko
rute,rute
angkutan,angkutan
perantau,perantau
meinspirasi,menginspirasi
transportsi,transportasi
terintekrasi,terintegrasi
baikpenanganan,baik penanganan
vaksinansi,vaksinansi
tulisannyaaplikasi,tulisannya aplikasi
dinyatakan,dinyatakan
goblok,goblok
trmaksih,terimakasih
trma,terima
sebenarnya,sebenarnya
bertele,bertele
rusakudah,rusak sudah
payahhhh,payah
inilama,ini lama
mohonpencerahannya,mohon pencerahannya
masukdaftar,masuk daftar
ama,bersama
disalahin,disalahkan
identitas,identitas
dowload,download
gbsa,tidak bisa
terdeteksi,terdeteksi
kawasan,kawasan
tinggal,tinggal
dibantulah,dibantulah
ditemukan,ditemukan
curiga,curiga
profesional,profesional
dashboard,dashboard
template,template
load,load
sedangkan,sedangkan
nggk,tidak
diperbarui,diperbarui
zong,zong
kartu,kartu
kendali,kendali
kkmohon,kak mohon
ujung,ujung
berkerumun,berkerumun
mw,ingin
ajja,saja
ujungnya,ujungnya
dirumah,di rumah
ditambah,ditambah
bila,bila
setengah,setengah
kira,kira
bad,buruk
gateway,gateway
modern,modern
pedoman,pedoman
aktifkan,aktifkan
gps,gps
keterangannya,keterangannya
atuhtolong,aduh tolong
dibantu,dibantu
ampe,sampai
pegel,pegal
okt,oktober
jakitp,jaki tapi
gambar,gambar
fhoto,foto
komentarbiar,komentar agar
sebenar,sebenarnya
fix,pasti
seting,pengaturan
waras,waras
dilaporkan,dilaporkan
x,kali
asbun,sabun
tkp,tempat
baikdari,baik dari
surat,surat
prosesnya,prosesnya
repotnya,repotnya
spy,supaya
ad,ada
file,file
kertas,kertas
kli,kali
memperbaiki,memperbaiki
sebeluma,sebelumnya
sapat,terdapat
kendala,kendala
lainya,lainnya
asuu,asu
sehari,sehari
amatiran,amatiran
ataupun,ataupun
diaplikasi,di aplikasi
vaksinquota,vaksin kuota
news,berita
tertib,tertib
boleh,boleh
menjadika,menjadikan
situsnya,situsnya
dijangkau,dijangkau
rekomendasi,rekomendasi
penangannya,penanganannya
smartcity,smartcity
kordinasi,koordinasi
pemantauan,pemantauan
keramaian,keramaian
jarang,jarang
memakainya,memakainya
surveiselalu,survei selalu
tersediamasalahnya,tersedia masalahnya
mna,mana
tulisannya,tulisannya
alamat,alamat
macem,macam
perbaikin,diperbaiki
gua,gua
tem,tem
tmpt,tempat
yng,yang
cuaca,cuaca
kerenn,keren
slesai,selesai
sediain,sediakan
webnya,webnya
alesan,alasan
game,game
dihp,di hp
quota,kuota
bagussangat,bagus sangat
penyelesaian,penyelesaian
vksn,vaksin
tertutup,tertutup
terwadahi,terwadahi
meski,meski
teratasitetap,teratasi tetap
berusaha,berusaha
terbaik,terbaik
otu,otu
bagustsk,bagus tidak
persulitsemua,persulit semua
persulit,persulit
teratasi,teratasi
chaptcha,chaptcha
is,is
kerennnn,keren
diluar,di luar
namun,namun
ud,sudah
jaksurv,jaksurvei
bodo,bodoh
bae,bae
oper,oper
sana,sana
androidmohon,android mohon
pencerahannya,pencerahannya
dibikin,dibuat
jika,jika
indentitas,identitas
pelapor,pelapor
rahasinya,rahasinya
terjamin,terjamin
dri,dari
situs,situs
apkikasi,aplikasi
walaupun,walaupun
gejala,gejala
pergi,pergi
dasarnya,dasarnya
faskesnya,fasilitas kesehatannya
jakclmnya,jakclmnya
downloadmau,download mau
lihatmenu,lihat menu
dimanamembingungkan,dimana membingungkan
jakimasa,jaki masa
selanjutnya,selanjutnya
jakclmajg,jakclm anjing
ap,apa
syarat,syarat
u,untuk
ptm,ptm
skolah,sekolah
mengambil,mengambil
pembelajaran,pembelajaran
khusunya,khususnya
gbs,tidak bisa
milih,memilih
jgn,jangan
dirilis,dirilis
becus,becus
kerensemoga,keren semoga
diatasiaaamiin,diatasi amin
keseltolong,kesal tolong
kak,kak
perantauan,perantauan
stay,stay
bangsat,bangsat
keuntungan,keuntungan
sendri,sendri
ajah,saja
penipuan,penipuan
kecamatan,kecamatan
menteng,menteng
keseluruhansudah,keseluruhan sudah
dikelurahan,di kelurahan
cegercipayang,cegercipayang
jaktim,jakarta timur
tangani,tangani
pandemik,pandemi
berakhir,berakhir
clmnya,clmnya
nanya,bertanya
halo,halo
java,java
siap,siap
jawabnya,jawabnya
gimanalupa,gimana lupa
screnshoot,screnshot
barcodenya,barcodenya
membaik,membaik
duhur,duhur
perhatian,perhatian
ngawur,ngawur
tujuan,tujuan
kalian,kalian
mengejar,mengejar
target,target
pcr,pcr
sebuah,sebuah
perlindungan,perlindungan
privasi,privasi
harusnya,seharusnya
diperhatikan,diperhatikan
dijaga,dijaga
jakartakeren,jakarta keren
bangettttt,banget
jelasssss,jelas
kata,kata
anehhhh,aneh
kepinteran,kepintaran
ladang,ladang
lsm,lsm
wartawan,wartawan
bodrex,bodrex
menekan,menekan
bisapadahal,bisa padahal
mbps,mbps
lebihhhhhhh,lebih
mei,mei
apakah,apakah
dikordinasikan,dikoordinasikan
ngeblank,ngeblank
kabel,kabel
listrik,listrik
putus,putus
jakcalem,jakclm
gateaway,gateway
terdata,terdata
menjawab,menjawab
berbenah,berbenah
beranda,beranda
dimohon,dimohon
komentar,komentar
alhamdullilah,alhamdullilah
mantapaplikasi,mantap aplikasi
antisipasinya,antisipasinya
formalitas,formalitas
berkesinambungan,berkesinambungan
deleted,dihapus
cetar,bagus
presceening,presceening
fotokopi,fotokopi
selesai,selesai
bermaslah,bermasalah
ney,ney
ega,ega
boikot,boikot
keamananuntuk,keamanan untuk
pulo,pulo
gadung,gadung
lepas,lepas
tangan,tangan
julikenapa,juli kenapa
divaksin,divaksin
kekimasa,keki masa
username,username
dipersulitgimana,dipersulit bagaimana
males,malas
bwt,buat
dicek,dicek
berkala,berkala
pfizer,pfizer
anehorang,aneh orang
salahaplikasi,salah aplikasi
bermutuhasilnya,bermutu hasilnya
hin,hin
ajamental,saja mental
mental,mental
tahap,tahap
ngantrinya,mengantrinya
prosedur,prosedur
korupsi,korupsi
mu,mu
nak,nak
berisiko,berisiko
lamanya,lamanya
ampunnn,ampun
berjam,berjam
nongol,muncul
ngabisik,berbisik
paketan,paketan
mengunduhnyajadi,mengunduhnya jadi
peran,peran
bermasyarakat,bermasyarakat
bahwa,bahwa
yasudahlah,yasudahlah
manfaatkan,manfaatkan
ketika,ketika
ngetik,mengetik
mencla,mencla
mencle,mencle
kmana,kemana
kaliann,kaliann
jangann,jangan
iniiaku,ini aku
dipencetngabisin,dipencet menghabiskan
ajaa,saja
tiket,tiket
kectanjung,kecamatan tanjung
priok,priok
penyaluran,penyaluran
sembako,sembako
bangka,bangka
woi,woi
veksin,vaksin
komen,komentar
wkwkkw,wkwkwk
hidupkan,hidupkan
negara,negara
minggu,minggu
check,cek
inout,in out
presreening,presreening
kamperet,kampret
memory,memori
sue,sue
respons,respon
over,akhir
all,seluruh
sanggat,sangat
terlebih,terlebih
downlad,download
persaratan,persyaratan
beli,beli
uuuu,u
sangaatttttt,sangat
burukkkkkk,buruk
persetujuannya,persetujuannya
terhitung,terhitung
uang,uang
sikmsilahkan,silahkan
jabarkan,jabarkan
sartepikat,sertifikat
gegara,karena
penyimpanan,penyimpanan
ogah,tidak mau
donglot,download
ajee,saja
meskipun,meskipun
sir,sir
dafatr,daftar
pengadu,pengadu
domba,domba
sepihak,sepihak
uber,mengejar
surveylog,survey log
susyahbenerin,susah dibenarkan
terlibat,terlibat
bet,banget
live,live
lol,wkwkwk
oleh,oleh
setatus,status
pdahal,padahal
aplisaki,aplikasi
jakinya,jakinya
ijin,izin
penyintas,penyintas
pny,punya
bepergian,bepergian
cuy,kawan
rumus,rumus
dipertanyakan,dipertanyakan
kwkwkwk,wkwkwk
buruksdh,buruk sudah
kasi,beri
ngacoo,acak
hadehhh,aduh
barcode,barcode
berkolaborasi,berkolaborasi
kabupatenyang,kabupaten yang
lekas,lekas
pulang,pulang
melanggar,melanggar
peraturan,peraturan
bolakbalik,bolakbalik
katroga,bodoh tidak
dh,sudah
cape,lelah
vakbiar,vaksin biar
vk,vaksin
curhat,curhat
sebsgai,sebagai
kader,kader
mendptkan,mendapatkan
hmpr,hampir
mengingatkan,mengingatkan
pembohong,pembohong
pembunuhan,pembunuhan
karakter,karakter
dikelola,dikelola
somoga,semoga
fisik,fisik
jskarta,jakarta
infoapakah,info apakah
mengalami,mengalami
kerusakan,kerusakan
bogor,bogor
memilih,memilih
berapa,berapa
disurvei,disurvei
kewarganegaraan,kewarganegaraan
klamin,kelamin
domisilin,domisili
kwalitas,kualitas
terjaga,terjaga
pencet,memencet
tempatnya,tempatnya
tolomg,tolong
formulirapa,formulir apa
ane,saya
naikkan,menaikkan
bintangnya,bintangnya
masuj,masuk
nomer,nomor
umur,umur
offline,offline
ngapa,mengapa
timur,timur
kontrol,kontrol
aga,tidak
mempergunakan,mempergunakan
partai,partai
jaksurvai,jaksurvei
kambing,kambing
napa,kenapa
emgg,memang
kadrun,kadrun
reklame,reklame
liar,liar
gimane,bagaimana
mase,masa
iye,iya
permaenan,permainan
pie,kenapa
tooo,itu
parahhhhhh,parah
da,ada
kai,kai
sialangoblok,sialan goblok
w,saya
sialan,sialan
amblas,amblas
kelaminalamat,kelamin alamat
ngeselin,mengesalkan
adlh,adalah
akn,akan
ank,anak
sklh,sekolah
cikini,ini
afdhol,bagus
dunlud,download
pendukung,pendukung
kagum,kagum
idiot,idiot
suurh,suruh
goublok,goblok
hri,hari
dtangin,didatangkan
haduhhh,aduh
jauhlgii,jauh lagi
kocakk,kocak
aq,aku
preescreaning,pre screening
aparat,aparat
ciganjur,cianjur
apabila,apabila
ybs,ybs
ketik,ketik
terkecil,terkecil
trimaksih,terimakasih
mndapatkn,mendapatkan
vaxsin,vaksin
trimz,terimakasih
nindaknya,menindaknya
ditunjukkin,ditunjukkan
bersangkutan,bersangkutan
bagai,bagai
gubeenur,gubernur
menjdi,menjadi
unggulan,unggulan
nkri,nkri
dicampur,dicampur
mines,minus
moderna,moderna
dgan,dengan
hrus,harus
melindungi,melindungi
lapornya,lapornya
kelaminpilihan,kelamin pilihan
dinas,dinas
kelamindan,kelamin dan
masalahnya,masalahnya
astaghfirullah,astaga
selau,selalu
turut,turut
berperan,berperan
aktip,aktif
asn,asn
gemana,bagaiman
harusnnya,seharusnya
menentukan,menentukan
berlakuditolak,berlaku ditolak
cilincing,cilincing
basi,basi
ngeleq,lag
banting,banting
padalan,padahal
mlu,malu
bisaasdh,bisa sudah
msukin,memasukkan
nma,nama
bsaa,bisa
mambantu,membantu
tranparan,tranparan
kenajuan,kemajuan
pasien,pasien
beresiko,beresiko
kepuasan,kepuasan
pemrop,pemprov
lampu,lampu
bandengan,bandengan
kalimat,kalimat
galon,galon
padam,padam
trimakasi,terimakasih
thats,itu
great,hebat
lke,seperti
adalah,adalah
struktur,struktur
ngelimet,ribet
rubah,ubah
terusssss,terus
norak,jelek
logout,keluar
oersebarak,bersebaran
layar,layar
dioperasikan,dioperasikan
bahkan,bahkan
jaringantelkomsel,jaringan telkomsel
berharaf,berharap
dipercepat,dipercepat
opra,opera
mini,mini
pengecekan,pengecekan
kpm,kpm
dipertgjwbkan,dipertanggungjawabkan
panik,panik
sumber,sumber
kagak,tidak
sebulan,sebulan
gx,tidak
jawabantanggapan,jawaban tanggapan
membuka,membuka
ditampilkan,ditampilkan
mapsnya,mapsnya
mengatahui,mengetahui
berbelit,berbelit
kitkat,kitkat
perubahan,perubahan
pula,pula
pembagian,pembagian
piskobartidak,piskobar tidak
tercantum,tercantum
tabel,tabel
samatolong,sama tolong
lahir,lahir
pengaduannya,pengaduannya
fotogambar,foto gambar
gambarnya,gambarnya
sementara,sementara
perfect,perfect
performa,performa
fungsinya,fungsinya
berjalat,berjalan
smdata,sama data
mantapp,mantap
peristiwa,peristiwa
harian,harian
tadinya,tadinya
bantuanbiar,bantuan agar
transparantaunya,transparan tahunya
indihome,indihome
tersebut,tersebut
mudan,mudah
memahami,memahami
dengar,dengar
burung,burung
teruji,teruji
monolog,monolog
aduanselalu,aduan selalu
hpnya,hpnya
kondisikan,dikondisikan
perbaharuimakasih,perbaharui terimakasih
gerak,gerak
call,call
center,center
hubungi,hubungi
darurat,darurat
pemberi,pemberi
tahuan,tahuan
bbrpa,beberapa
hr,hari
krm,kirim
apknya,aplikasinya
seharus,harus
membantudengan,membantu dengan
inidan,ini dan
mengurangi,mengurangi
penyelewengan,penyelewengan
paslihat,saat melihat
plis,tolong
kalah,kalah
micet,michat
percepatan,percepatan
penganganan,penganganan
cobain,mencoba
restart,mulai ulang
isomanpergerakan,isoman pergerakan
kabupatennyajadi,kabupatennya menjadi
bandung,bandung
kestabilan,kestabilan
handphone,handphone
normal,normal
gangguan,gangguan
mentok,buntu
pdhal,padahal
dperbaiki,diperbaiki
mantapuntuk,mantap untuk
pantauan,pantauan
phk,phk
sejak,sejak
lengkapada,lengkap ada
hadir,hadir
kl,kalau
ditunjukkan,ditunjukkan
adnya,adanya
sayatetap,saya tetap
tingkatan,tingkatan
berbedajd,berbeda jadi
kolomalamat,kolom alamat
melanjutkan,melanjutkan
terisi,terisi
mamfaat,mamfaat
caritahu,mencaritahu
mengenali,mengenali
kasus,kasus
perkembangannya,perkembangannya
interfacenya,interfacenya
pengguna,pengguna
rk,rk
isoman,isoman
swab,swab
vitamin,vitamin
sekalitrima,sekali terimakasih
jajaran,jajaran
shortcut,shortcut
share,share
yogyakarta,yogyakarta
rujukan,rujukan
iming,omongan
ekspektasi,ekspektasi
dilihat,dilihat
mnggu,minggu
pintu,pintu
satupun,satupun
bolehtidak,boleh tidak
kunjungi,kunjungi
masyarakatdan,masyarakat dan
balik,balik
desktop,desktop
unggah,unggah
pertolongan,pertolongan
dicari,dicari
alami,alami
crash,crash
covidmohon,covid mohon
bohong,bohong
jelassudah,jelas sudah
lagipercumacuma,lagi percuma
teori,teori
tangapan,tanggapan
diperbaharui,diperbaharui
persebaran,persebaran
merespons,merespon
membantujadi,membantu menjadi
dilempar,dilempar
sja,saja
bagusmoga,bagus semoga
korona,corona
menyingkir,menyingkir
republik,republik
iniaaminn,ini amin
menginformasikan,menginformasikan
sekalipun,sekalipun
bantuanmalah,bantuan malah
ngezoom,ngezoom
